date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:40	4934/4934	---M--	200	added ('OK')	image/gif	etag:%225ac-1346-4ad1518924440%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/4_2.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/4_2.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:40	9227/9227	---M--	200	added ('OK')	image/gif	etag:%225a3-240b-4ad1518924440%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/4_3.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/4_3.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:41	6638/6638	---M--	200	added ('OK')	image/gif	etag:%225a4-19ee-4ad1518924440%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/4_4.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/4_4.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:43	20566/20566	---M--	200	added ('OK')	image/gif	etag:%22592-5056-4ad1518a18680%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_1_old.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_1_old.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:43	26382/26382	---M--	200	added ('OK')	image/gif	etag:%22588-670e-4ad1518924440%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_1.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_1.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:43	10404/10404	---M--	200	added ('OK')	image/gif	etag:%225a8-28a4-4ad1518a18680%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_2.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_2.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:43	5376/5376	---M--	200	added ('OK')	image/gif	etag:%225a6-1500-4ad1518a18680%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_2_old.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_2_old.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:44	6568/6568	---M--	200	added ('OK')	image/gif	etag:%2259d-19a8-4ad1518b0c8c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_3.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_3.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:44	11298/11298	---M--	200	added ('OK')	image/gif	etag:%2259e-2c22-4ad1518b0c8c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_4.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_4.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:44	8158/8158	---M--	200	added ('OK')	image/gif	etag:%22585-1fde-4ad1518b0c8c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_4_old.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_4_old.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:45	8239/8239	---M--	200	added ('OK')	image/gif	etag:%225a5-202f-4ad1518b0c8c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_5.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_5.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:45	3829/3829	---M--	200	added ('OK')	image/gif	etag:%22594-ef5-4ad1518c00b00%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/5_5_old.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/5_5_old.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:45	2039/2039	---M--	200	added ('OK')	image/gif	etag:%22583-7f7-4ad1518c00b00%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/books.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/books.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:46	7105/7105	---M--	200	added ('OK')	image/gif	etag:%22589-1bc1-4ad1518c00b00%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/boy.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/boy.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:47	1298/1298	---M--	200	added ('OK')	text/css	etag:%225b7-512-4ad1519866840%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/style.css	Z:/jns1/1234/lab_net/Network_Simulate/style.css	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/lab0.htm)
21:26:47	5679/5679	---M--	200	added ('OK')	application/javascript	etag:%225b8-162f-4ad15efdd0340%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/menu.js	Z:/jns1/1234/lab_net/Network_Simulate/menu.js	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/lab0.htm)
21:26:51	134144/134144	---M--	200	added ('OK')	application/octet-stream	etag:%225a1-20c00-4ad1518de8f80%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/Thumbs.db	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/Thumbs.db	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
